ID;Matéria;Tópico Principal;Subtópico;Tipo de Exercício;Descrição/Enunciado (Exemplo);Dificuldade (1-5);Qtde Questões Estimada;Tempo por Questão (seg);XP por Questão;Observações;Status
1;Matemática;Matemática: uma construção humana;História dos números;Múltipla Escolha;Qual foi o primeiro sistema de numeração conhecido?;2;5;30;10;Foco em origem e evolução dos números;Planejado
2;Matemática;Matemática: uma construção humana;História dos números;Verdadeiro/Falso;Os números romanos são um sistema de numeração antigo que ainda é usado hoje.;2;3;25;8;;Planejado
3;Matemática;Matemática: uma construção humana;Matemática no cotidiano;Múltipla Escolha;Em qual situação do dia a dia usamos matemática?;1;8;25;8;;Planejado
4;Matemática;A arte de raciocinar;Lógica;Puzzle/Quebra-cabeça;Complete: Se 2 + 3 = 5, então 5 - 3 = ?;2;10;30;12;Exercícios de adição simples;Planejado
5;Matemática;A arte de raciocinar;Lógica;Múltipla Escolha;Qual é o resultado de 15 + 27?;2;10;30;12;Operações básicas;Planejado
6;Matemática;A arte de raciocinar;Sequências;Ordering;Ordene os números: 3, 1, 5, 2, 4 (do menor ao maior);2;8;35;10;;Planejado
7;Matemática;Os números: seus usos e seus significados;Números Naturais;Múltipla Escolha;Qual é o maior número natural menor que 100?;1;8;25;8;;Planejado
8;Matemática;Os números: seus usos e seus significados;Números Inteiros;Múltipla Escolha;Qual é a temperatura mais baixa: -5°C ou -10°C?;3;8;30;12;;Planejado
9;Matemática;Os números: seus usos e seus significados;Frações;Puzzle/Quebra-cabeça;Complete: 1/2 + 1/4 = ?;3;10;40;15;;Planejado
10;Matemática;Os números: seus usos e seus significados;Frações;Múltipla Escolha;Qual fração é equivalente a 1/2? a) 2/4 b) 3/4 c) 1/3;2;8;30;10;;Planejado
11;Matemática;Geometria: leitura e representação da realidade;Formas Geométricas;Matching;Ligue cada forma geométrica ao seu nome: círculo, quadrado, triângulo;2;10;35;12;;Planejado
12;Matemática;Geometria: leitura e representação da realidade;Formas Geométricas;Múltipla Escolha;Quantos lados tem um triângulo?;1;8;25;8;;Planejado
13;Matemática;Geometria: leitura e representação da realidade;Perímetro e Área;Múltipla Escolha;Qual é o perímetro de um quadrado de lado 5cm?;3;8;35;12;;Planejado
14;Matemática;Geometria: leitura e representação da realidade;Perímetro e Área;Fill Blank;A área de um retângulo é calculada por: ___ x ___;3;8;35;12;;Planejado
15;Matemática;As medidas e a compreensão da realidade;Medidas de Comprimento;Múltipla Escolha;Quantos centímetros tem 1 metro?;2;8;25;10;;Planejado
16;Matemática;As medidas e a compreensão da realidade;Medidas de Peso;Múltipla Escolha;Qual unidade é maior: 1kg ou 1000g?;2;8;25;10;;Planejado
17;Matemática;As medidas e a compreensão da realidade;Medidas de Tempo;Múltipla Escolha;Quantos minutos tem 1 hora?;1;8;25;8;;Planejado
18;Matemática;As medidas e a compreensão da realidade;Medidas de Volume;Múltipla Escolha;Quantos litros tem 1000ml?;2;8;25;10;;Planejado
19;Matemática;Proporcionalidade: uma ideia fundamental;Razão e Proporção;Múltipla Escolha;Se 2 litros de suco custam R$ 6, quanto custam 4 litros?;3;10;40;15;Regra de três simples;Planejado
20;Matemática;Proporcionalidade: uma ideia fundamental;Porcentagem;Puzzle/Quebra-cabeça;Complete: 50% de 100 é igual a ___;2;10;30;12;;Planejado
21;Matemática;Proporcionalidade: uma ideia fundamental;Porcentagem;Múltipla Escolha;Qual é 20% de 50?;3;10;35;12;;Planejado
22;Matemática;A Álgebra: suas funções e seus usos;Equações Simples;Fill Blank;Complete: Se x + 5 = 10, então x = ___;3;10;40;15;;Planejado
23;Matemática;A Álgebra: suas funções e seus usos;Equações Simples;Múltipla Escolha;Qual é o valor de x na equação: 2x = 10?;3;10;35;12;;Planejado
24;Matemática;A Álgebra: suas funções e seus usos;Expressões Algébricas;Múltipla Escolha;Qual é o resultado de 3x + 2x?;2;8;30;10;;Planejado
